,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
58,frozenset({'Harry Potter and the Goblet of Fire (Book 4)'}),frozenset({'Harry Potter and the Prisoner of Azkaban (Book 3)'}),0.14664586583463338,0.1622464898595944,0.11076443057722309,0.7553191489361702,4.655380523731588,0.0869716535931328,3.4238621718781803
59,frozenset({'Harry Potter and the Prisoner of Azkaban (Book 3)'}),frozenset({'Harry Potter and the Goblet of Fire (Book 4)'}),0.1622464898595944,0.14664586583463338,0.11076443057722309,0.6826923076923076,4.655380523731587,0.0869716535931328,2.6893584834302455
55,frozenset({'Harry Potter and the Prisoner of Azkaban (Book 3)'}),frozenset({'Harry Potter and the Chamber of Secrets (Book 2)'}),0.1622464898595944,0.20436817472698907,0.12636505460218408,0.7788461538461539,3.8109953024075165,0.09320703561371785,3.5976395577562235
54,frozenset({'Harry Potter and the Chamber of Secrets (Book 2)'}),frozenset({'Harry Potter and the Prisoner of Azkaban (Book 3)'}),0.20436817472698907,0.1622464898595944,0.12636505460218408,0.6183206106870229,3.810995302407516,0.09320703561371785,2.194914196567863
52,frozenset({'Harry Potter and the Goblet of Fire (Book 4)'}),frozenset({'Harry Potter and the Chamber of Secrets (Book 2)'}),0.14664586583463338,0.20436817472698907,0.11232449297971919,0.7659574468085107,3.7479291862920263,0.08235474504783624,3.3995177988937755
53,frozenset({'Harry Potter and the Chamber of Secrets (Book 2)'}),frozenset({'Harry Potter and the Goblet of Fire (Book 4)'}),0.20436817472698907,0.14664586583463338,0.11232449297971919,0.549618320610687,3.747929186292026,0.08235474504783624,1.8947354504349667
135,frozenset({'The Client'}),"frozenset({'A Time to Kill', 'The Pelican Brief'})",0.20904836193447737,0.15288611544461778,0.10140405616224649,0.48507462686567165,3.17278403898873,0.06944346416602373,1.6451197178321915
134,"frozenset({'A Time to Kill', 'The Pelican Brief'})",frozenset({'The Client'}),0.15288611544461778,0.20904836193447737,0.10140405616224649,0.663265306122449,3.17278403898873,0.06944346416602373,2.348886682740037
132,"frozenset({'The Client', 'A Time to Kill'})",frozenset({'The Pelican Brief'}),0.12324492979719189,0.26521060842433697,0.10140405616224649,0.8227848101265822,3.1023827252419953,0.06871819334551853,4.146311566748383
63,frozenset({'Interview with the Vampire'}),"frozenset({'The Vampire Lestat (Vampire Chronicles, Book II)'})",0.2121684867394696,0.1544461778471139,0.10140405616224649,0.4779411764705882,3.094548425430778,0.06863544432572935,1.6196523917294718
62,"frozenset({'The Vampire Lestat (Vampire Chronicles, Book II)'})",frozenset({'Interview with the Vampire'}),0.1544461778471139,0.2121684867394696,0.10140405616224649,0.6565656565656565,3.094548425430778,0.06863544432572935,2.293979994493897
136,frozenset({'A Time to Kill'}),"frozenset({'The Client', 'The Pelican Brief'})",0.25273010920436817,0.1310452418096724,0.10140405616224649,0.4012345679012346,3.0618018812463257,0.06828497788897514,1.451244029142609
133,"frozenset({'The Client', 'The Pelican Brief'})",frozenset({'A Time to Kill'}),0.1310452418096724,0.25273010920436817,0.10140405616224649,0.7738095238095237,3.0618018812463252,0.06828497788897514,3.3037195172017397
138,"frozenset({'A Time to Kill', 'The Firm'})",frozenset({'The Pelican Brief'}),0.13416536661466458,0.26521060842433697,0.10140405616224649,0.7558139534883721,2.8498632010943914,0.06582197765289707,3.0091375083574774
57,frozenset({'Harry Potter and the Chamber of Secrets (Book 2)'}),"frozenset({""Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback))""})",0.20436817472698907,0.2121684867394696,0.12012480499219969,0.5877862595419847,2.770374943870678,0.0767643186226669,1.9112208932801757
56,"frozenset({""Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback))""})",frozenset({'Harry Potter and the Chamber of Secrets (Book 2)'}),0.2121684867394696,0.20436817472698907,0.12012480499219969,0.5661764705882353,2.770374943870678,0.0767643186226669,1.8339987836801608
89,frozenset({'The Client'}),frozenset({'The Rainmaker'}),0.20904836193447737,0.20748829953198128,0.11856474258970359,0.5671641791044777,2.7334754797441367,0.07518965345197272,1.8309753079778366
90,frozenset({'The Rainmaker'}),frozenset({'The Client'}),0.20748829953198128,0.20904836193447737,0.11856474258970359,0.5714285714285714,2.7334754797441363,0.07518965345197272,1.845553822152886
77,frozenset({'The Client'}),frozenset({'The Chamber'}),0.20904836193447737,0.1918876755070203,0.10920436817472699,0.5223880597014926,2.7223637908020875,0.06909056393456986,1.6919851794071765
78,frozenset({'The Chamber'}),frozenset({'The Client'}),0.1918876755070203,0.20904836193447737,0.10920436817472699,0.5691056910569106,2.722363790802087,0.06909056393456986,1.8356047449445148
140,frozenset({'A Time to Kill'}),"frozenset({'The Pelican Brief', 'The Firm'})",0.25273010920436817,0.15132605304212168,0.10140405616224649,0.4012345679012346,2.6514572992236225,0.06315940625144506,1.417372983579137
139,"frozenset({'The Pelican Brief', 'The Firm'})",frozenset({'A Time to Kill'}),0.15132605304212168,0.25273010920436817,0.10140405616224649,0.6701030927835051,2.651457299223622,0.06315940625144506,2.2651618564742586
137,"frozenset({'A Time to Kill', 'The Pelican Brief'})",frozenset({'The Firm'}),0.15288611544461778,0.25585023400936036,0.10140405616224649,0.663265306122449,2.592396714783475,0.062288107748958946,2.209899305063112
83,frozenset({'The Rainmaker'}),frozenset({'The Chamber'}),0.20748829953198128,0.1918876755070203,0.10140405616224649,0.48872180451127817,2.546916070664466,0.06158960867015023,1.5805726346700928
84,frozenset({'The Chamber'}),frozenset({'The Rainmaker'}),0.1918876755070203,0.20748829953198128,0.10140405616224649,0.5284552845528455,2.546916070664466,0.06158960867015023,1.6806713647856257
126,frozenset({'The Runaway Jury'}),frozenset({'The Rainmaker'}),0.19656786271450857,0.20748829953198128,0.10140405616224649,0.5158730158730159,2.486275211839122,0.06061852458497716,1.6369913812945962
125,frozenset({'The Rainmaker'}),frozenset({'The Runaway Jury'}),0.20748829953198128,0.19656786271450857,0.10140405616224649,0.48872180451127817,2.4862752118391214,0.06061852458497716,1.5714187391025054
10,frozenset({'The Chamber'}),frozenset({'A Time to Kill'}),0.1918876755070203,0.25273010920436817,0.11856474258970359,0.6178861788617886,2.444845929940781,0.07006894940384199,1.9556212035715475
9,frozenset({'A Time to Kill'}),frozenset({'The Chamber'}),0.25273010920436817,0.1918876755070203,0.11856474258970359,0.46913580246913583,2.4448459299407808,0.07006894940384199,1.5222580996263109
87,frozenset({'The Client'}),frozenset({'The Pelican Brief'}),0.20904836193447737,0.26521060842433697,0.1310452418096724,0.6268656716417911,2.363652326602283,0.07560339855091865,1.969235569422777
88,frozenset({'The Pelican Brief'}),frozenset({'The Client'}),0.26521060842433697,0.20904836193447737,0.1310452418096724,0.49411764705882355,2.363652326602283,0.07560339855091865,1.5635090519899866
11,frozenset({'The Client'}),frozenset({'A Time to Kill'}),0.20904836193447737,0.25273010920436817,0.12324492979719189,0.5895522388059702,2.332734475769302,0.07041211445649714,1.8206211884839032
12,frozenset({'A Time to Kill'}),frozenset({'The Client'}),0.25273010920436817,0.20904836193447737,0.12324492979719189,0.4876543209876543,2.3327344757693016,0.07041211445649714,1.5437851248989716
15,frozenset({'A Time to Kill'}),frozenset({'The Pelican Brief'}),0.25273010920436817,0.26521060842433697,0.15288611544461778,0.6049382716049383,2.280973129992738,0.08585940941537817,1.8599356474258972
16,frozenset({'The Pelican Brief'}),frozenset({'A Time to Kill'}),0.26521060842433697,0.25273010920436817,0.15288611544461778,0.5764705882352941,2.280973129992738,0.08585940941537817,1.764387242156353
119,frozenset({'The Pelican Brief'}),frozenset({'The Rainmaker'}),0.26521060842433697,0.20748829953198128,0.12324492979719189,0.4647058823529412,2.239672711189739,0.06821683163738407,1.4805163635116834
120,frozenset({'The Rainmaker'}),frozenset({'The Pelican Brief'}),0.20748829953198128,0.26521060842433697,0.12324492979719189,0.5939849624060151,2.239672711189739,0.06821683163738407,1.809759057028948
94,frozenset({'The Firm'}),frozenset({'The Pelican Brief'}),0.25585023400936036,0.26521060842433697,0.15132605304212168,0.5914634146341464,2.230164992826399,0.08347185681499024,1.798588958483713
93,frozenset({'The Pelican Brief'}),frozenset({'The Firm'}),0.26521060842433697,0.25585023400936036,0.15132605304212168,0.5705882352941176,2.2301649928263987,0.08347185681499024,1.7329515098412156
96,frozenset({'The Firm'}),frozenset({'The Rainmaker'}),0.25585023400936036,0.20748829953198128,0.11544461778471139,0.451219512195122,2.174674491105814,0.06235868779524973,1.4441324319639453
95,frozenset({'The Rainmaker'}),frozenset({'The Firm'}),0.20748829953198128,0.25585023400936036,0.11544461778471139,0.556390977443609,2.1746744911058133,0.06235868779524973,1.6774901504534756
19,frozenset({'A Time to Kill'}),frozenset({'The Runaway Jury'}),0.25273010920436817,0.19656786271450857,0.1060842433697348,0.4197530864197531,2.1354105428179504,0.056405625959827795,1.384638364257975
20,frozenset({'The Runaway Jury'}),frozenset({'A Time to Kill'}),0.19656786271450857,0.25273010920436817,0.1060842433697348,0.5396825396825398,2.1354105428179504,0.056405625959827795,1.6233794179353385
79,frozenset({'The Firm'}),frozenset({'The Chamber'}),0.25585023400936036,0.1918876755070203,0.10452418096723869,0.4085365853658537,2.1290402538171724,0.05542967428525534,1.3662930022355535
80,frozenset({'The Chamber'}),frozenset({'The Firm'}),0.1918876755070203,0.25585023400936036,0.10452418096723869,0.5447154471544715,2.1290402538171724,0.05542967428525534,1.6344718074437263
22,frozenset({'The Street Lawyer'}),frozenset({'A Time to Kill'}),0.18876755070202808,0.25273010920436817,0.10140405616224649,0.5371900826446281,2.125548413427201,0.053696812459081825,1.614636728326276
21,frozenset({'A Time to Kill'}),frozenset({'The Street Lawyer'}),0.25273010920436817,0.18876755070202808,0.10140405616224649,0.4012345679012346,2.125548413427201,0.053696812459081825,1.354841822538881
82,frozenset({'The Chamber'}),frozenset({'The Pelican Brief'}),0.1918876755070203,0.26521060842433697,0.10764430577223089,0.5609756097560975,2.1152080344332855,0.05675365860188229,1.6736869474778988
81,frozenset({'The Pelican Brief'}),frozenset({'The Chamber'}),0.26521060842433697,0.1918876755070203,0.10764430577223089,0.40588235294117647,2.1152080344332855,0.05675365860188229,1.3601890610277878
14,frozenset({'The Firm'}),frozenset({'A Time to Kill'}),0.25585023400936036,0.25273010920436817,0.13416536661466458,0.524390243902439,2.0749021379102683,0.06950430903351579,1.5711828473138927
13,frozenset({'A Time to Kill'}),frozenset({'The Firm'}),0.25273010920436817,0.25585023400936036,0.13416536661466458,0.5308641975308642,2.0749021379102683,0.06950430903351579,1.5862139748747845
122,frozenset({'The Street Lawyer'}),frozenset({'The Pelican Brief'}),0.18876755070202808,0.26521060842433697,0.1029641185647426,0.5454545454545455,2.05668449197861,0.05290096159228585,1.616536661466459
18,frozenset({'The Rainmaker'}),frozenset({'A Time to Kill'}),0.20748829953198128,0.25273010920436817,0.10764430577223089,0.518796992481203,2.052770815928711,0.055205765172884606,1.5529202418096726
17,frozenset({'A Time to Kill'}),frozenset({'The Rainmaker'}),0.25273010920436817,0.20748829953198128,0.10764430577223089,0.42592592592592593,2.0527708159287106,0.055205765172884606,1.3805042524281617
99,frozenset({'The Nanny Diaries: A Novel'}),"frozenset({""The Girls' Guide to Hunting and Fishing""})",0.2714508580343214,0.21060842433697347,0.11544461778471139,0.42528735632183906,2.019327373350362,0.05827478028918349,1.3735413416536661
100,"frozenset({""The Girls' Guide to Hunting and Fishing""})",frozenset({'The Nanny Diaries: A Novel'}),0.21060842433697347,0.2714508580343214,0.11544461778471139,0.5481481481481482,2.019327373350362,0.05827478028918349,1.6123628551699447
85,frozenset({'The Client'}),frozenset({'The Firm'}),0.20904836193447737,0.25585023400936036,0.10764430577223089,0.5149253731343284,2.012604659628686,0.054159233452021394,1.5340933637345495
86,frozenset({'The Firm'}),frozenset({'The Client'}),0.25585023400936036,0.20904836193447737,0.10764430577223089,0.4207317073170732,2.012604659628686,0.054159233452021394,1.3654323015025864
25,frozenset({'The Da Vinci Code'}),frozenset({'Angels &amp; Demons'}),0.26833073322932915,0.22932917316692666,0.12168486739469579,0.4534883720930233,1.9774560987185574,0.06014880220793856,1.4101636405881768
24,frozenset({'Angels &amp; Demons'}),frozenset({'The Da Vinci Code'}),0.22932917316692666,0.26833073322932915,0.12168486739469579,0.5306122448979592,1.9774560987185574,0.06014880220793856,1.5587736552940379
121,frozenset({'The Runaway Jury'}),frozenset({'The Pelican Brief'}),0.19656786271450857,0.26521060842433697,0.10140405616224649,0.5158730158730159,1.9451447245564895,0.04927217369506012,1.5177616940743206
69,frozenset({'The Notebook'}),frozenset({'Message in a Bottle'}),0.25117004680187205,0.24024960998439937,0.11388455538221529,0.453416149068323,1.8872711139791887,0.05354104959830219,1.3899978726421787
68,frozenset({'Message in a Bottle'}),frozenset({'The Notebook'}),0.24024960998439937,0.25117004680187205,0.11388455538221529,0.474025974025974,1.8872711139791887,0.05354104959830219,1.4237013925001445
116,"frozenset({""Where the Heart Is (Oprah's Book Club (Paperback))""})",frozenset({'The Notebook'}),0.21840873634945399,0.25117004680187205,0.1029641185647426,0.4714285714285714,1.876929902395741,0.048106386033912506,1.416705316861323
117,frozenset({'The Notebook'}),"frozenset({""Where the Heart Is (Oprah's Book Club (Paperback))""})",0.25117004680187205,0.21840873634945399,0.1029641185647426,0.4099378881987578,1.876929902395741,0.048106386033912506,1.3245915099761887
50,frozenset({'Good in Bed'}),frozenset({'The Nanny Diaries: A Novel'}),0.2059282371294852,0.2714508580343214,0.10452418096723869,0.5075757575757576,1.8698624172762102,0.04862478430494473,1.4795151806072244
4,frozenset({'A Painted House'}),frozenset({'The Pelican Brief'}),0.23712948517940718,0.26521060842433697,0.11700468018720749,0.4934210526315789,1.860487616099071,0.05411542514742711,1.450493344409101
3,frozenset({'The Pelican Brief'}),frozenset({'A Painted House'}),0.26521060842433697,0.23712948517940718,0.11700468018720749,0.4411764705882353,1.860487616099071,0.05411542514742711,1.365136710731587
0,frozenset({'A Time to Kill'}),frozenset({'A Painted House'}),0.25273010920436817,0.23712948517940718,0.11076443057722309,0.4382716049382716,1.8482374918778428,0.05083466989225591,1.3580771802300662
1,frozenset({'A Painted House'}),frozenset({'A Time to Kill'}),0.23712948517940718,0.25273010920436817,0.11076443057722309,0.4671052631578947,1.8482374918778426,0.05083466989225591,1.4022842395177288
39,frozenset({'Summer Sisters'}),frozenset({'Divine Secrets of the Ya-Ya Sisterhood: A Novel'}),0.20904836193447737,0.27301092043681746,0.10452418096723869,0.5,1.8314285714285714,0.047451695259698064,1.4539781591263652
36,frozenset({'House of Sand and Fog'}),frozenset({'Divine Secrets of the Ya-Ya Sisterhood: A Novel'}),0.2059282371294852,0.27301092043681746,0.10140405616224649,0.4924242424242424,1.8036796536796535,0.045183398599594526,1.4322769925722403
65,frozenset({'Jurassic Park'}),frozenset({'The Pelican Brief'}),0.2121684867394696,0.26521060842433697,0.10140405616224649,0.4779411764705882,1.8021193771626296,0.045134722705600885,1.4074839049900023
48,"frozenset({""Where the Heart Is (Oprah's Book Club (Paperback))""})",frozenset({'Divine Secrets of the Ya-Ya Sisterhood: A Novel'}),0.21840873634945399,0.27301092043681746,0.1060842433697348,0.4857142857142857,1.7791020408163265,0.04645627322752817,1.4135898769284108
103,frozenset({'The Horse Whisperer'}),frozenset({'The Pelican Brief'}),0.24336973478939158,0.26521060842433697,0.11388455538221529,0.4679487179487179,1.764441930618401,0.04934031994665121,1.381049940792812
102,frozenset({'The Pelican Brief'}),frozenset({'The Horse Whisperer'}),0.26521060842433697,0.24336973478939158,0.11388455538221529,0.4294117647058823,1.764441930618401,0.04934031994665121,1.326053042121685
7,frozenset({'Message in a Bottle'}),frozenset({'A Time to Kill'}),0.24024960998439937,0.25273010920436817,0.1060842433697348,0.4415584415584416,1.747154080487414,0.04536593320207068,1.3381344556107828
8,frozenset({'A Time to Kill'}),frozenset({'Message in a Bottle'}),0.25273010920436817,0.24024960998439937,0.1060842433697348,0.4197530864197531,1.747154080487414,0.04536593320207068,1.3093570551332694
46,frozenset({'The Secret Life of Bees'}),frozenset({'Divine Secrets of the Ya-Ya Sisterhood: A Novel'}),0.22932917316692666,0.27301092043681746,0.10920436817472699,0.4761904761904762,1.74421768707483,0.04659499952541005,1.3878882428024397
47,frozenset({'Divine Secrets of the Ya-Ya Sisterhood: A Novel'}),frozenset({'The Secret Life of Bees'}),0.27301092043681746,0.22932917316692666,0.10920436817472699,0.4,1.74421768707483,0.04659499952541005,1.2844513780551223
